ID,Coordinates,,Score,,,,,,,,,,,,,,,,,,,,,,
470,POINT Z (-99.13356274 19.42737463 0.000),,B(16-23),,,,,,,,,,,,,,,,,,,,,,
471,POINT Z (-99.13338739 19.42755549 0.000),,a (0-16),,,,,,,,,,,,,,,,,,,,,,
497,POINT Z (-99.13907804 19.42950793 0.000),,B(16-23),,,,,,,,,,,,,,,,,,,,,,
500,POINT Z (-99.13890872 19.42947188 0.000),,B(16-23),,,,,,,,,,,,,,,,,,,,,,
621,POINT Z (-99.14126236 19.42240441 0.000),,a (0-16),,,,,,,,,,,,,,,,,,,,,,
652,POINT Z (-99.13779359 19.42336818 0.000),,B(16-23),,,,,,,,,,,,,,,,,,,,,,
681,POINT Z (-99.13573667 19.42322621 0.000),,a (0-16),,,,,,,,,,,,,,,,,,,,,,
737,POINT Z (-99.13364924 19.42501396 0.000),,C (23-33),,,,,,,,,,,,,,,,,,,,,,
818,POINT Z (-99.13033772 19.42617185 0.000),,D(33-49),,,,,,,,,,,,,,,,,,,,,,
855,POINT Z (-99.13255960 19.42576270 0.000),,B(16-23),,,,,,,,,,,,,,,,,,,,,,
931,POINT Z (-99.12453342 19.43645020 0.000),,D(33-49),,,,,,,,,,,,,,,,,,,,,,