ID,Coordinates,Date,Hour,Variable,Classification,Description,Picture,,,,,,,,,,,,,,,,,,,
331.00,POINT Z (-99.13931374 19.43448615 0.000),11/29/2022,13:50:47.369,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
332.00,POINT Z (-99.13939387 19.43393664 0.000),11/29/2022,13:51:34.538,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
333.00,POINT Z (-99.13941834 19.43394644 0.000),11/29/2022,13:51:49.485,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
334.00,POINT Z (-99.13970131 19.43588268 0.000),11/29/2022,13:56:47.701,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
335.00,POINT Z (-99.13894996 19.43581091 0.000),11/29/2022,13:57:27.030,Incivility,persona en situacion de calle,,,,,,,,,,,,,,,,,,,,,
336.00,POINT Z (-99.13822241 19.43486840 0.000),11/29/2022,14:00:06.253,Poor infrastructure,Inestable manhole cover,,,,,,,,,,,,,,,,,,,,,
337.00,POINT Z (-99.13821470 19.43375705 0.000),11/30/2022,10:35:04.518,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
354.00,POINT Z (-99.13798537 19.43566926 0.000),11/30/2022,10:43:30.845,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
359.00,POINT Z (-99.13699061 19.43551908 0.000),11/30/2022,10:45:36.497,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
360.00,POINT Z (-99.13703587 19.43530598 0.000),11/30/2022,10:45:58.217,Obstacles,moviles vendedores,,,,,,,,,,,,,,,,,,,,,
361.00,POINT Z (-99.13708247 19.43493796 0.000),11/30/2022,10:47:27.633,Poor infrastructure,pavimento roto,recolección de datos - centro_20221130_104743706.jpg,,,,,,,,,,,,,,,,,,,,
378.00,POINT Z (-99.13717970 19.43429518 0.000),11/30/2022,10:53:01.713,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
387.00,POINT Z (-99.13727760 19.43364671 0.000),11/30/2022,10:55:46.790,Poor infrastructure,ausencia de tapa,recolección de datos - centro_20221130_105601579.jpg,,,,,,,,,,,,,,,,,,,,
404.00,POINT Z (-99.13728599 19.43358505 0.000),11/30/2022,10:58:43.922,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
405.00,POINT Z (-99.13728632 19.43355660 0.000),11/30/2022,10:59:03.025,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
406.00,POINT Z (-99.13838468 19.43375199 0.000),11/30/2022,11:00:06.133,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
432.00,POINT Z (-99.13745161 19.43260269 0.000),11/30/2022,11:07:24.272,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221130_110737388.jpg,,,,,,,,,,,,,,,,,,,,
433.00,POINT Z (-99.13743988 19.43262103 0.000),11/30/2022,11:08:08.458,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221130_110828844.jpg,,,,,,,,,,,,,,,,,,,,
434.00,POINT Z (-99.13743753 19.43258562 0.000),11/30/2022,11:08:53.755,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
435.00,POINT Z (-99.13740736 19.43287587 0.000),11/30/2022,11:10:38.157,Poor infrastructure,ausencia de pavimento,recolección de datos - centro_20221130_111042655.jpg,,,,,,,,,,,,,,,,,,,,
436.00,POINT Z (-99.13736511 19.43312502 0.000),11/30/2022,11:12:00.816,Poor infrastructure,,recolección de datos - centro_20221130_111203255.jpg,,,,,,,,,,,,,,,,,,,,
463.00,POINT Z (-99.13629927 19.43343993 0.000),11/30/2022,11:20:06.194,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
474.00,POINT Z (-99.13669825 19.43228873 0.000),11/30/2022,11:24:26.210,Poor infrastructure,,recolección de datos - centro_20221130_112431644.jpg,,,,,,,,,,,,,,,,,,,,
487.00,POINT Z (-99.13744088 19.43233047 0.000),11/30/2022,11:26:31.030,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
488.00,POINT Z (-99.13841620 19.43245599 0.000),11/30/2022,11:29:05.072,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221130_112914736.jpg,,,,,,,,,,,,,,,,,,,,
503.00,POINT Z (-99.13951121 19.43258847 0.000),11/30/2022,11:34:19.695,Incivility,personas en situacion de calle,,,,,,,,,,,,,,,,,,,,,
504.00,POINT Z (-99.13960911 19.43258625 0.000),11/30/2022,11:35:17.411,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
512.00,POINT Z (-99.13961783 19.43252144 0.000),11/30/2022,11:38:23.196,Obstacles,moviles Informal Commerce ,recolección de datos - centro_20221130_113914936.jpg,,,,,,,,,,,,,,,,,,,,
513.00,POINT Z (-99.13971573 19.43182869 0.000),11/30/2022,11:44:42.651,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
519.00,POINT Z (-99.14105382 19.43195738 0.000),11/30/2022,11:47:40.248,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
529.00,POINT Z (-99.13946159 19.43174396 0.000),11/30/2022,11:51:48.951,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221130_115203905.jpg,,,,,,,,,,,,,,,,,,,,
530.00,POINT Z (-99.13951188 19.43177146 0.000),11/30/2022,11:52:27.375,Poor infrastructure,rampa inclinada,recolección de datos - centro_20221130_115240256.jpg,,,,,,,,,,,,,,,,,,,,
542.00,POINT Z (-99.13862810 19.43162318 0.000),11/30/2022,11:57:15.854,aspectos positivos,,,,,,,,,,,,,,,,,,,,,,
543.00,POINT Z (-99.13874041 19.43089660 0.000),11/30/2022,11:57:20.981,aspectos positivos,,,,,,,,,,,,,,,,,,,,,,
555.00,POINT Z (-99.14116446 19.43121784 0.000),11/30/2022,12:02:01.991,Poor infrastructure,tapa discontinua,recolección de datos - centro_20221130_120204629.jpg,,,,,,,,,,,,,,,,,,,,
556.00,POINT Z (-99.14044965 19.43104425 0.000),11/30/2022,12:04:01.818,aspectos positivos,,,,,,,,,,,,,,,,,,,,,,
557.00,POINT Z (-99.14047346 19.43103919 0.000),11/30/2022,12:04:10.656,Poor infrastructure,Inestable manhole cover,,,,,,,,,,,,,,,,,,,,,
558.00,POINT Z (-99.14047580 19.43110401 0.000),11/30/2022,12:04:26.398,Poor infrastructure,tapa discontinua,,,,,,,,,,,,,,,,,,,,,
578.00,POINT Z (-99.13986862 19.43006820 0.000),11/30/2022,12:11:08.984,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
585.00,POINT Z (-99.14762020 19.43289895 0.000),11/30/2022,12:29:41.593,Incivility,drogadiccion,,,,,,,,,,,,,,,,,,,,,
586.00,POINT Z (-99.14850365 19.43591651 0.000),12/01/2022,20:45:07.298,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
587.00,POINT Z (-99.14811205 19.43618367 0.000),12/01/2022,20:46:31.884,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
588.00,POINT Z (-99.14750386 19.43657952 0.000),12/01/2022,20:49:39.019,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
589.00,POINT Z (-99.14671093 19.43701709 0.000),12/01/2022,20:50:04.356,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
590.00,POINT Z (-99.14626602 19.43743507 0.000),12/01/2022,20:51:02.437,Obstacles,moviles escombro,recolección de datos - centro_20221201_205116001.jpg,,,,,,,,,,,,,,,,,,,,
591.00,POINT Z (-99.14573159 19.43782364 0.000),12/01/2022,20:52:30.999,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221201_205240420.jpg,,,,,,,,,,,,,,,,,,,,
592.00,POINT Z (-99.14441898 19.43907502 0.000),12/01/2022,20:54:32.088,aspectos positivos,Other (descripción),iluminacion buena,,,,,,,,,,,,,,,,,,,,
593.00,POINT Z (-99.14299674 19.44028402 0.000),12/01/2022,20:56:56.788,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
594.00,POINT Z (-99.14248075 19.44090402 0.000),12/01/2022,20:59:09.812,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
595.00,POINT Z (-99.14208144 19.44107948 0.000),12/01/2022,20:59:46.799,Incivility,homeless,,,,,,,,,,,,,,,,,,,,,
596.00,POINT Z (-99.14063673 19.44248987 0.000),12/01/2022,21:02:09.881,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
597.00,POINT Z (-99.13997456 19.44313230 0.000),12/01/2022,21:02:46.089,Poor infrastructure,tapa inexistente,recolección de datos - centro_20221201_210252975.jpg,,,,,,,,,,,,,,,,,,,,
598.00,POINT Z (-99.14011806 19.44305200 0.000),12/01/2022,21:03:59.742,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
599.00,POINT Z (-99.13966779 19.44334033 0.000),12/01/2022,21:04:13.558,Obstacles,Building,,,,,,,,,,,,,,,,,,,,,
600.00,POINT Z (-99.14207842 19.44124484 0.000),12/01/2022,21:04:43.575,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
601.00,POINT Z (-99.14110914 19.44207412 0.000),12/01/2022,21:04:47.632,aspectos positivos,Other (descripción),iluminacion buena,,,,,,,,,,,,,,,,,,,,
602.00,POINT Z (-99.14049558 19.44264321 0.000),12/01/2022,21:04:49.482,aspectos positivos,Other (descripción),iluminacion buena,,,,,,,,,,,,,,,,,,,,
603.00,POINT Z (-99.13977038 19.44326825 0.000),12/01/2022,21:05:36.312,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
604.00,POINT Z (-99.13992997 19.44166849 0.000),12/01/2022,21:10:16.030,Physical aspects in poor condition,edificio descuidado,,,,,,,,,,,,,,,,,,,,,
605.00,POINT Z (-99.13975865 19.44304346 0.000),12/01/2022,21:10:34.165,Incivility,olor desagradable,,,,,,,,,,,,,,,,,,,,,
606.00,POINT Z (-99.14004464 19.44091540 0.000),12/01/2022,21:11:12.842,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
607.00,POINT Z (-99.13981766 19.44243897 0.000),12/01/2022,21:11:38.026,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
608.00,POINT Z (-99.13996316 19.44156858 0.000),12/01/2022,21:11:41.277,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
609.00,POINT Z (-99.14006442 19.44004342 0.000),12/01/2022,21:13:21.267,Physical aspects in poor condition,Vacant lots,,,,,,,,,,,,,,,,,,,,,
610.00,POINT Z (-99.14000373 19.44046424 0.000),12/01/2022,21:13:22.936,Physical aspects in poor condition,Vacant lots,,,,,,,,,,,,,,,,,,,,,
611.00,POINT Z (-99.14008319 19.43966529 0.000),12/01/2022,21:15:42.035,Incivility,homeless,,,,,,,,,,,,,,,,,,,,,
612.00,POINT Z (-99.14023072 19.43872502 0.000),12/01/2022,21:15:43.924,Incivility,homeless,,,,,,,,,,,,,,,,,,,,,
613.00,POINT Z (-99.14014891 19.43926377 0.000),12/01/2022,21:16:08.880,aspectos positivos,other,iluminacion buena,,,,,,,,,,,,,,,,,,,,
614.00,POINT Z (-99.14035141 19.43831180 0.000),12/01/2022,21:18:37.914,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
615.00,POINT Z (-99.14032359 19.43821884 0.000),12/01/2022,21:18:47.368,aspectos positivos,Other (descripción),iluminacion buena,,,,,,,,,,,,,,,,,,,,
616.00,POINT Z (-99.14049357 19.43720015 0.000),12/01/2022,21:19:04.751,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
617.00,POINT Z (-99.14033901 19.43785810 0.000),12/01/2022,21:19:18.928,mobiliario vandalizado,telefono vandalizado,,,,,,,,,,,,,,,,,,,,,
618.00,POINT Z (-99.14046574 19.43730070 0.000),12/01/2022,21:19:43.270,Physical aspects in poor condition,building in bad shape,,,,,,,,,,,,,,,,,,,,,
619.00,POINT Z (-99.14059583 19.43652324 0.000),12/01/2022,21:22:52.698,Physical aspects in poor condition,Vacant lots,,,,,,,,,,,,,,,,,,,,,
620.00,POINT Z (-99.14058510 19.43637906 0.000),12/01/2022,21:23:07.472,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
621.00,POINT Z (-99.14053883 19.43663737 0.000),12/01/2022,21:23:40.733,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
622.00,POINT Z (-99.14054621 19.43668259 0.000),12/01/2022,21:24:01.736,aspectos positivos,Other (descripción),iluminacion buena,,,,,,,,,,,,,,,,,,,,
623.00,POINT Z (-99.14024245 19.43478177 0.000),12/01/2022,21:27:34.867,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
624.00,POINT Z (-99.14048620 19.43481244 0.000),12/01/2022,21:27:51.511,aspectos positivos,Other (descripción),iluminacion buena,,,,,,,,,,,,,,,,,,,,
625.00,POINT Z (-99.14045937 19.43476881 0.000),12/01/2022,21:28:23.674,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
626.00,POINT Z (-99.14063539 19.43534013 0.000),12/01/2022,21:28:45.545,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
627.00,POINT Z (-99.13982939 19.43465625 0.000),12/01/2022,21:29:47.019,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
628.00,POINT Z (-99.13969696 19.43471158 0.000),12/01/2022,21:30:01.792,aspectos positivos,Other (descripción),iluminacion buena,,,,,,,,,,,,,,,,,,,,
629.00,POINT Z (-99.13876824 19.43446370 0.000),12/01/2022,21:32:04.339,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
630.00,POINT Z (-99.13875248 19.43460187 0.000),12/01/2022,21:32:05.273,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
631.00,POINT Z (-99.13858451 19.43460440 0.000),12/01/2022,21:32:11.685,Incivility,homeless,,,,,,,,,,,,,,,,,,,,,
632.00,POINT Z (-99.13773827 19.43435778 0.000),12/01/2022,21:34:59.056,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
633.00,POINT Z (-99.13783483 19.43444694 0.000),12/01/2022,21:35:22.388,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
634.00,POINT Z (-99.13717300 19.43433312 0.000),12/01/2022,21:37:49.169,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
635.00,POINT Z (-99.13672607 19.43424206 0.000),12/01/2022,21:38:00.726,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
636.00,POINT Z (-99.13663957 19.43433438 0.000),12/01/2022,21:38:02.210,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
637.00,POINT Z (-99.13649138 19.43434039 0.000),12/01/2022,21:40:14.250,Incivility,homeless,,,,,,,,,,,,,,,,,,,,,
638.00,POINT Z (-99.13562100 19.43415037 0.000),12/01/2022,21:41:39.863,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
639.00,POINT Z (-99.13583022 19.43416460 0.000),12/01/2022,21:41:49.617,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
640.00,POINT Z (-99.13582183 19.43420918 0.000),12/01/2022,21:41:50.368,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
641.00,POINT Z (-99.13560927 19.43417756 0.000),12/01/2022,21:42:20.649,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
642.00,POINT Z (-99.13504399 19.43436221 0.000),12/01/2022,21:43:27.895,Physical aspects in poor condition,Trash on the street,recolección de datos - centro_20221201_214336288.jpg,,,,,,,,,,,,,,,,,,,,
643.00,POINT Z (-99.13416322 19.43357557 0.000),12/01/2022,21:46:08.310,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
644.00,POINT Z (-99.13447939 19.43396415 0.000),12/01/2022,21:46:44.209,aspectos positivos,Other (descripción),iluminacion excelente,,,,,,,,,,,,,,,,,,,,
645.00,POINT Z (-99.13471073 19.43411528 0.000),12/01/2022,21:46:52.530,aspectos positivos,,,,,,,,,,,,,,,,,,,,,,
646.00,POINT Z (-99.13450789 19.43406880 0.000),12/01/2022,21:46:58.752,Incivility,homeless,,,,,,,,,,,,,,,,,,,,,
647.00,POINT Z (-99.13409717 19.43306147 0.000),12/01/2022,21:51:23.670,Poor infrastructure,Inestable manhole cover,,,,,,,,,,,,,,,,,,,,,
648.00,POINT Z (-99.13421687 19.43274814 0.000),12/01/2022,21:51:49.665,aspectos positivos,Other (descripción),iluminacion regular,,,,,,,,,,,,,,,,,,,,
650.00,POINT Z (-99.13782176 19.42985510 0.000),12/02/2022,13:22:37.542,Poor infrastructure,broken manhole cover,recolección de datos - centro_20221202_132241951.jpg,,,,,,,,,,,,,,,,,,,,
651.00,POINT Z (-99.13778052 19.42984150 0.000),12/02/2022,13:23:01.074,aspectos positivos,policía,,,,,,,,,,,,,,,,,,,,,
652.00,POINT Z (-99.13860463 19.42991486 0.000),12/02/2022,13:24:44.856,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
653.00,POINT Z (-99.13880210 19.42988703 0.000),12/02/2022,13:24:59.469,Physical aspects in poor condition,grafitti,recolección de datos - centro_20221202_132507974.jpg,,,,,,,,,,,,,,,,,,,,
654.00,POINT Z (-99.13695607 19.43051465 0.000),12/02/2022,13:30:57.110,Physical aspects in poor condition,basura,recolección de datos - centro_20221202_133108492.jpg,,,,,,,,,,,,,,,,,,,,
655.00,POINT Z (-99.13672339 19.43042644 0.000),12/02/2022,13:34:42.783,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
656.00,POINT Z (-99.13673948 19.43055607 0.000),12/02/2022,13:34:59.147,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
657.00,POINT Z (-99.13598377 19.43040114 0.000),12/02/2022,13:37:32.750,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
658.00,POINT Z (-99.13543426 19.43030850 0.000),12/02/2022,13:38:41.219,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
659.00,POINT Z (-99.13467754 19.43031071 0.000),12/02/2022,13:40:17.832,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
660.00,POINT Z (-99.13568974 19.43042517 0.000),12/02/2022,13:42:00.444,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
661.00,POINT Z (-99.13482707 19.43023262 0.000),12/02/2022,13:42:09.424,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
662.00,POINT Z (-99.13662918 19.43134842 0.000),12/02/2022,13:45:58.328,aspectos positivos,,,,,,,,,,,,,,,,,,,,,,
663.00,POINT Z (-99.13739931 19.43067906 0.000),12/02/2022,13:50:50.720,Poor infrastructure,Manhole cover in poor condition,recolección de datos - centro_20221202_135056952.jpg,,,,,,,,,,,,,,,,,,,,
664.00,POINT Z (-99.13864117 19.43138984 0.000),12/02/2022,13:54:59.618,Obstacles,facade,,,,,,,,,,,,,,,,,,,,,
665.00,POINT Z (-99.13919605 19.43176735 0.000),12/02/2022,13:56:57.220,Physical aspects in poor condition,Abandoned building,recolección de datos - centro_20221202_135706801.jpg,,,,,,,,,,,,,,,,,,,,
667.00,POINT Z (-99.13853422 19.43221411 0.000),12/05/2022,14:17:40.901,Obstacles,Mobile,,Informal Commerce ,,,,,,,,,,,,,,,,,,,
